SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit
6/26/1990,11:44:00,7.4,,,0.5,S ,ISM,M1,PH,,7.8,SU
6/26/1990,11:44:00,7.4,,,1,M ,ISM,M1,PH,,7.8,SU
6/26/1990,11:44:00,7.4,,,2,AP,ISM,M1,PH,,7.9,SU
6/26/1990,11:44:00,7.4,,,3,M ,ISM,M1,PH,,7.9,SU
6/26/1990,11:44:00,7.4,,,4,BP,ISM,M1,PH,,7.8,SU
6/26/1990,11:44:00,7.4,,,5,M ,ISM,M1,PH,,7.8,SU
6/26/1990,11:44:00,7.4,,,6,M ,ISM,M1,PH,,7.7,SU
6/26/1990,11:44:00,7.4,,,6.4,B ,ISM,M1,PH,,7.7,SU
7/17/1990,9:45:00,8.1,,,0.5,S ,ISM,M1,PH,,8.1,SU
7/17/1990,9:45:00,8.1,,,1,M ,ISM,M1,PH,,8.1,SU
7/17/1990,9:45:00,8.1,,,2,AP,ISM,M1,PH,,7.9,SU
7/17/1990,9:45:00,8.1,,,3,M ,ISM,M1,PH,,7.8,SU
7/17/1990,9:45:00,8.1,,,4,BP,ISM,M1,PH,,7.8,SU
7/17/1990,9:45:00,8.1,,,5,M ,ISM,M1,PH,,7.8,SU
7/17/1990,9:45:00,8.1,,,6,M ,ISM,M1,PH,,7.8,SU
7/17/1990,9:45:00,8.1,,,7.1,B ,ISM,M1,PH,,7.6,SU
7/31/1990,10:02:00,8.2,3.5,3.5,0.5,S ,ISM,M1,PH,,8,SU
7/31/1990,10:02:00,8.2,3.5,3.5,1,M ,ISM,M1,PH,,8,SU
7/31/1990,10:02:00,8.2,3.5,3.5,2,AP,ISM,M1,PH,,7.9,SU
7/31/1990,10:02:00,8.2,3.5,3.5,3,M ,ISM,M1,PH,,7.8,SU
7/31/1990,10:02:00,8.2,3.5,3.5,4,M ,ISM,M1,PH,,7.6,SU
7/31/1990,10:02:00,8.2,3.5,3.5,5,BP,ISM,M1,PH,,7.7,SU
7/31/1990,10:02:00,8.2,3.5,3.5,6,M ,ISM,M1,PH,,7.5,SU
7/31/1990,10:02:00,8.2,3.5,3.5,7.2,B ,ISM,M1,PH,,7.3,SU
8/14/1990,9:42:00,7.6,4.5,4.5,0.5,S ,ISM,M1,PH,,8,SU
8/14/1990,9:42:00,7.6,4.5,4.5,1,M ,ISM,M1,PH,,8,SU
8/14/1990,9:42:00,7.6,4.5,4.5,2,M ,ISM,M1,PH,,8,SU
8/14/1990,9:42:00,7.6,4.5,4.5,3,AP,ISM,M1,PH,,7.9,SU
8/14/1990,9:42:00,7.6,4.5,4.5,4,M ,ISM,M1,PH,,7.9,SU
8/14/1990,9:42:00,7.6,4.5,4.5,5,M ,ISM,M1,PH,,7.7,SU
8/14/1990,9:42:00,7.6,4.5,4.5,6,BP,ISM,M1,PH,,7.6,SU
8/14/1990,9:42:00,7.6,4.5,4.5,6.6,B ,ISM,M1,PH,,7.6,SU
8/28/1990,11:10:00,8,,,0.5,S ,ISM,M1,PH,,8.2,SU
8/28/1990,11:10:00,8,,,1,M ,ISM,M1,PH,,8.1,SU
8/28/1990,11:10:00,8,,,2,M ,ISM,M1,PH,,7.9,SU
8/28/1990,11:10:00,8,,,3,AP,ISM,M1,PH,,7.8,SU
8/28/1990,11:10:00,8,,,4,M ,ISM,M1,PH,,7.6,SU
8/28/1990,11:10:00,8,,,5,M ,ISM,M1,PH,,7.4,SU
8/28/1990,11:10:00,8,,,6,BP,ISM,M1,PH,,7.3,SU
8/28/1990,11:10:00,8,,,7,B ,ISM,M1,PH,,7.3,SU
9/11/1990,9:44:00,7.8,4.5,4.5,0.5,S ,ISM,M1,PH,,8.1,SU
